plateID,well,field,n_0,time_slice,elapsed_minutes,Drug1,Drug1Concentration,Drug2,Drug2Concentration,treatment,cell_cycle_state_threshold,n,length,Nuclei_CKn_NR_area,Nuclei_CKn_CC_mean_intensity,Cyto_CKn_CC_mean_intensity,Cell_CKn_CC_mean_intensity_ratio,Cell_CKn_CC_max_intensity_ratio,Cell_CKn_CC_min_intensity_ratio,G1_proportion,neighborhood_20,neighborhood_45,neighborhood_70,drugs,cell_count_norm_T0
HC00701,C1,1,143,03d07h00m,4740,BEZ235,10,none,none,BEZ235_10,0.8,227,79.03,189.88,401.54,266.14,0.76,0.9,0.67,0.47,2.07,4.46,6.62,BEZ235,1.5874125874125875
HC00701,C1,1,143,03d07h30m,4770,BEZ235,10,none,none,BEZ235_10,0.8,228,78.54,189.89,401.17,266.65,0.75,0.9,0.67,0.48,2.11,4.47,6.65,BEZ235,1.5944055944055944
HC00701,C1,1,143,03d08h00m,4800,BEZ235,10,none,none,BEZ235_10,0.8,228,78.04,189.88,394.34,267.12,0.76,0.9,0.67,0.46,2.08,4.51,6.62,BEZ235,1.5944055944055944
HC00701,C1,1,143,03d08h30m,4830,BEZ235,10,none,none,BEZ235_10,0.8,228,76.99,188.18,396.99,267.46,0.76,0.9,0.68,0.46,2.11,4.59,6.6,BEZ235,1.5944055944055944
HC00701,C1,1,143,03d09h00m,4860,BEZ235,10,none,none,BEZ235_10,0.8,234,74.37,184.71,392.04,266.97,0.76,0.91,0.67,0.48,2.09,4.53,6.62,BEZ235,1.6363636363636365
HC00701,C1,1,143,03d09h30m,4890,BEZ235,10,none,none,BEZ235_10,0.8,237,73.56,186.6,391.8,267.35,0.76,0.91,0.68,0.48,2.1,4.54,6.75,BEZ235,1.6573426573426573
HC00701,C1,1,143,03d10h00m,4920,BEZ235,10,none,none,BEZ235_10,0.8,235,73.76,185.9,394.43,271.34,0.76,0.92,0.67,0.47,2.1,4.6,6.9,BEZ235,1.6433566433566433
HC00701,C1,1,143,03d10h30m,4950,BEZ235,10,none,none,BEZ235_10,0.8,238,72.79,187.37,389.07,269.31,0.76,0.91,0.68,0.46,2.15,4.64,6.94,BEZ235,1.6643356643356644
HC00701,C1,1,143,03d11h00m,4980,BEZ235,10,none,none,BEZ235_10,0.8,241,72.13,187.71,385.91,268.22,0.76,0.91,0.68,0.45,2.15,4.66,6.93,BEZ235,1.6853146853146854
HC00701,C1,1,143,03d11h30m,5010,BEZ235,10,none,none,BEZ235_10,0.8,240,71.62,187.84,385.36,270.99,0.77,0.91,0.67,0.46,2.07,4.61,6.82,BEZ235,1.6783216783216783
HC00701,C1,1,143,03d12h00m,5040,BEZ235,10,none,none,BEZ235_10,0.8,243,70.19,185.95,391.56,272.48,0.76,0.91,0.67,0.44,2.14,4.61,6.87,BEZ235,1.6993006993006994
HC00701,C1,1,143,03d12h30m,5070,BEZ235,10,none,none,BEZ235_10,0.8,240,71.02,189.4,388.51,270.81,0.77,0.92,0.67,0.48,2.08,4.61,6.9,BEZ235,1.6783216783216783
HC00701,C1,1,143,03d13h00m,5100,BEZ235,10,none,none,BEZ235_10,0.8,243,69.86,187.32,386.5,267.12,0.76,0.9,0.67,0.44,2.06,4.53,6.8,BEZ235,1.6993006993006994
